gender,race_ethnicity,parental_education,lunch,test_prep,reading_score,writing_score,math_score,grade
male,group D,high school,standard,none,44,43,46,D
female,group A,associate's,standard,none,56,63,37,F
female,group A,high school,free/reduced,none,62,62,37,F
male,group C,associate's,standard,none,68,77,40,D
male,group E,bachelor's,standard,none,98,73,64,C
male,group C,high school,standard,completed,73,52,59,C
male,group C,some high school,standard,completed,57,64,58,C
female,group B,high school,free/reduced,completed,73,64,53,D
female,group C,associate's,standard,completed,64,43,54,D
female,group D,bachelor's,free/reduced,none,74,55,56,C
male,group C,some high school,standard,completed,78,58,70,B
male,group D,bachelor's,standard,completed,88,91,74,B
female,group E,high school,free/reduced,none,69,72,37,F
female,group B,some college,standard,none,94,79,64,C
female,group C,master's,standard,completed,83,47,52,D
female,group B,high school,standard,none,59,87,59,C
female,group D,some college,free/reduced,completed,100,89,66,C
female,group C,some high school,standard,none,74,40,43,D
male,group C,some high school,free/reduced,none,57,59,41,D
male,group D,high school,standard,none,94,77,65,C
male,group C,some high school,free/reduced,none,100,79,55,C
male,group E,associate's,standard,completed,69,59,64,C
female,group C,some college,free/reduced,completed,62,65,37,F
male,group B,some college,standard,none,67,61,47,D
female,group D,high school,free/reduced,none,80,71,50,D
female,group D,high school,standard,completed,89,87,76,B
male,group B,associate's,standard,completed,78,58,61,C
male,group D,doctorate,standard,none,71,85,64,C
female,group E,some high school,standard,none,92,58,57,C
male,group B,master's,standard,completed,65,57,52,D
male,group E,associate's,free/reduced,completed,85,82,62,C
male,group B,associate's,free/reduced,none,65,83,45,D
male,group B,some college,standard,none,76,82,65,C
female,group B,some high school,free/reduced,completed,68,50,41,D
female,group D,some high school,standard,completed,69,63,63,C
female,group C,associate's,standard,none,64,82,56,C
female,group B,high school,free/reduced,none,90,70,50,D
female,group C,master's,free/reduced,completed,59,53,46,D
male,group C,some college,free/reduced,none,58,76,39,F
female,group B,high school,standard,none,100,59,65,C
female,group D,bachelor's,free/reduced,none,84,96,63,C
female,group D,high school,standard,none,34,93,45,D
female,group C,some college,standard,completed,61,79,65,C
male,group E,associate's,standard,none,42,90,54,D
male,group C,master's,free/reduced,completed,55,70,54,D
male,group E,bachelor's,free/reduced,none,22,81,36,F
male,group C,associate's,free/reduced,none,67,92,56,C
female,group C,associate's,standard,none,52,73,41,D
female,group B,master's,standard,completed,70,66,75,B
male,group D,high school,standard,completed,45,44,33,F
female,group C,some high school,standard,none,71,68,59,C
male,group B,high school,standard,completed,63,82,66,C
male,group A,high school,free/reduced,completed,92,84,61,C
male,group C,associate's,standard,completed,91,77,72,B
male,group C,associate's,standard,none,81,61,54,D
female,group D,associate's,standard,completed,65,40,55,C
male,group D,some high school,standard,none,99,62,58,C
female,group A,bachelor's,standard,none,46,65,40,D
female,group D,high school,free/reduced,completed,48,65,29,F
male,group B,associate's,standard,none,68,79,67,C
female,group D,associate's,free/reduced,none,100,99,63,C
female,group D,high school,standard,none,66,71,54,D
male,group C,high school,standard,completed,67,66,58,C
female,group D,some high school,standard,completed,48,66,51,D
male,group B,bachelor's,free/reduced,none,84,71,56,C
male,group C,master's,free/reduced,completed,84,57,64,C
male,group D,associate's,standard,none,81,71,60,C
female,group C,high school,standard,none,60,76,56,C
female,group C,some college,standard,completed,59,73,60,C
male,group C,bachelor's,standard,none,50,76,54,D
male,group D,bachelor's,free/reduced,none,71,76,46,D
female,group C,high school,standard,none,53,43,42,D
male,group B,some high school,standard,completed,52,79,65,C
male,group D,bachelor's,standard,none,63,59,53,D
female,group D,some college,standard,completed,62,53,48,D
female,group B,high school,standard,completed,61,53,50,D
male,group B,some high school,standard,none,76,76,60,C
female,group B,some college,free/reduced,completed,71,66,44,D
female,group C,master's,free/reduced,none,65,44,43,D
male,group C,doctorate,standard,none,72,77,57,C
female,group D,associate's,free/reduced,completed,55,48,40,D
male,group C,some college,standard,completed,71,72,59,C
female,group C,some high school,standard,none,72,73,48,D
female,group C,some college,standard,none,47,83,46,D
female,group D,some college,standard,none,84,96,71,B
male,group C,associate's,standard,none,56,49,44,D
female,group E,some college,standard,none,71,69,54,D
male,group C,high school,standard,none,87,65,60,C
male,group B,some high school,free/reduced,completed,83,76,59,C
male,group C,high school,standard,none,70,73,58,C
female,group B,some high school,standard,none,64,64,58,C
female,group D,high school,standard,completed,84,63,69,C
male,group A,doctorate,standard,completed,80,53,64,C
female,group B,some college,standard,none,60,84,57,C
male,group D,some college,free/reduced,none,58,76,34,F
female,group B,master's,standard,completed,38,83,48,D
male,group D,doctorate,standard,none,72,65,55,C
female,group B,associate's,standard,none,68,60,49,D
male,group C,bachelor's,standard,completed,87,53,64,C
female,group D,high school,standard,none,75,75,68,C
male,group C,high school,standard,none,90,54,59,C
male,group B,some college,standard,none,59,97,67,C
male,group B,associate's,standard,none,87,50,53,D
female,group A,associate's,standard,none,62,74,47,D
female,group B,high school,free/reduced,completed,81,93,67,C
male,group C,high school,standard,none,48,78,43,D
female,group E,associate's,free/reduced,none,73,72,57,C
female,group D,high school,free/reduced,none,40,55,32,F
female,group D,associate's,standard,completed,65,49,54,D
female,group D,associate's,standard,none,76,81,68,C
male,group C,bachelor's,standard,none,62,92,47,D
male,group B,bachelor's,free/reduced,completed,54,63,48,D
female,group E,master's,standard,none,82,52,43,D
female,group C,some college,free/reduced,none,68,33,30,F
female,group C,bachelor's,free/reduced,none,62,55,34,F
male,group B,associate's,free/reduced,none,70,68,49,D
male,group C,high school,standard,none,100,93,76,B
female,group C,some high school,standard,completed,87,80,80,B
female,group D,high school,free/reduced,none,87,74,50,D
female,group C,some college,standard,none,76,63,57,C
female,group C,associate's,standard,none,72,61,52,D
female,group E,bachelor's,free/reduced,none,34,91,30,F
male,group B,high school,standard,none,59,73,45,D
male,group C,high school,free/reduced,completed,62,38,37,F
female,group A,doctorate,free/reduced,none,41,59,36,F
female,group D,high school,standard,completed,52,57,52,D
male,group E,some college,free/reduced,none,40,61,23,F
male,group B,associate's,standard,none,69,78,55,C
female,group D,some college,standard,none,82,68,70,B
male,group B,some high school,standard,none,86,68,60,C
male,group E,some high school,standard,none,76,89,62,C
female,group D,high school,standard,none,55,59,46,D
female,group D,associate's,standard,completed,41,97,65,C
female,group A,some college,standard,none,43,59,36,F
male,group E,high school,standard,none,50,71,49,D
female,group D,associate's,free/reduced,none,56,65,36,F
male,group B,bachelor's,free/reduced,none,67,71,49,D
male,group D,some high school,standard,none,54,76,51,D
female,group B,some college,standard,none,75,76,61,C
female,group D,associate's,standard,none,66,58,43,D
female,group B,high school,standard,completed,70,53,50,D
female,group D,high school,free/reduced,completed,87,100,78,B
female,group C,associate's,free/reduced,none,52,62,35,F
male,group B,master's,standard,none,76,80,62,C
male,group B,bachelor's,standard,completed,69,45,49,D
male,group A,associate's,standard,none,64,65,54,D
male,group C,bachelor's,standard,none,83,68,54,D
female,group B,some college,standard,none,83,77,61,C
male,group C,associate's,free/reduced,none,55,29,28,F
female,group B,some college,free/reduced,none,67,72,52,D
female,group B,high school,standard,none,74,52,45,D
female,group D,bachelor's,standard,none,65,74,65,C
female,group A,associate's,free/reduced,none,78,54,44,D
female,group E,some college,standard,completed,74,57,52,D
female,group D,master's,standard,none,97,65,65,C
male,group C,some high school,standard,none,47,54,36,F
female,group C,high school,free/reduced,none,68,62,44,D
male,group D,some high school,standard,completed,56,52,48,D
male,group B,bachelor's,free/reduced,completed,79,42,46,D
female,group A,bachelor's,free/reduced,completed,45,85,44,D
male,group B,high school,free/reduced,none,75,50,45,D
female,group D,associate's,free/reduced,completed,60,67,41,D
female,group A,some college,standard,completed,58,81,54,D
female,group C,bachelor's,standard,none,48,60,43,D
male,group E,some college,free/reduced,none,63,57,47,D
male,group D,some college,free/reduced,none,86,73,51,D
female,group C,master's,standard,completed,69,86,72,B
male,group A,high school,standard,none,79,52,56,C
female,group D,high school,free/reduced,none,94,67,59,C
female,group C,associate's,free/reduced,completed,73,44,42,D
female,group B,doctorate,standard,completed,61,64,49,D
male,group B,some college,standard,completed,77,70,51,D
male,group E,some high school,standard,completed,61,57,51,D
female,group C,high school,standard,none,62,63,55,C
male,group D,some college,standard,completed,47,48,37,F
male,group D,high school,standard,none,83,71,63,C
female,group C,associate's,standard,completed,64,85,59,C
female,group C,doctorate,standard,none,72,53,48,D
female,group C,some college,free/reduced,completed,54,60,47,D
female,group B,some college,free/reduced,completed,76,77,55,C
male,group C,some college,standard,completed,58,88,65,C
female,group D,high school,standard,none,67,47,41,D
female,group C,master's,free/reduced,none,83,67,54,D
male,group D,some college,standard,completed,81,74,69,C
female,group C,some college,free/reduced,none,69,68,45,D
female,group C,associate's,free/reduced,completed,43,32,37,F
female,group C,some college,standard,none,100,77,72,B
female,group C,associate's,free/reduced,completed,96,92,69,C
female,group D,some high school,standard,none,80,71,57,C
male,group B,bachelor's,standard,completed,58,54,50,D
male,group C,master's,standard,completed,68,62,58,C
female,group B,associate's,standard,none,61,96,75,B
female,group C,doctorate,free/reduced,none,88,83,60,C
female,group C,high school,standard,none,73,79,46,D
female,group C,some college,standard,none,58,75,47,D
female,group E,associate's,standard,none,62,60,35,F
female,group C,associate's,free/reduced,completed,86,66,56,C
female,group D,some college,standard,none,94,68,50,D
female,group C,high school,standard,none,92,78,60,C
female,group C,high school,free/reduced,none,81,92,50,D
female,group A,some college,standard,none,66,86,61,C
female,group B,high school,free/reduced,none,21,48,17,F
male,group C,bachelor's,standard,completed,74,73,66,C
male,group C,high school,free/reduced,completed,69,81,57,C
male,group A,some high school,free/reduced,none,72,79,42,D
female,group B,associate's,standard,none,70,60,53,D
male,group B,associate's,standard,completed,50,100,77,B
male,group E,master's,free/reduced,none,78,50,43,D
female,group C,associate's,standard,none,79,53,48,D
male,group C,high school,free/reduced,none,80,73,42,D
female,group B,bachelor's,standard,none,84,100,66,C
male,group C,some college,standard,completed,79,57,63,C
male,group B,some high school,standard,completed,63,66,64,C
female,group B,associate's,free/reduced,none,68,86,53,D
male,group C,master's,standard,none,71,69,58,C
male,group A,some college,free/reduced,completed,71,64,56,C
female,group A,high school,free/reduced,completed,84,78,65,C
female,group B,high school,standard,completed,79,74,63,C
male,group A,high school,standard,completed,100,85,81,B
female,group B,some college,free/reduced,none,100,89,60,C
male,group C,associate's,standard,completed,71,74,64,C
male,group D,some high school,free/reduced,completed,12,74,34,F
female,group C,master's,standard,none,88,73,72,B
female,group C,bachelor's,standard,completed,61,77,53,D
female,group B,associate's,free/reduced,none,57,70,43,D
female,group E,bachelor's,standard,none,64,69,60,C
female,group C,some high school,standard,none,63,87,62,C
female,group B,some college,standard,none,79,92,71,B
male,group C,associate's,standard,none,46,47,38,F
female,group B,bachelor's,standard,none,53,70,54,D
male,group C,bachelor's,free/reduced,none,75,59,37,F
male,group C,high school,standard,none,79,65,47,D
male,group D,master's,standard,none,79,76,59,C
male,group C,high school,free/reduced,none,58,80,32,F
female,group D,master's,standard,completed,55,68,62,C
female,group E,doctorate,standard,none,62,41,46,D
female,group B,high school,free/reduced,none,73,55,38,F
male,group B,bachelor's,free/reduced,completed,92,83,65,C
male,group C,some high school,standard,completed,39,28,32,F
male,group C,some college,standard,completed,66,87,67,C
male,group C,some college,standard,none,50,77,49,D
female,group E,associate's,standard,none,45,89,54,D
female,group D,master's,standard,completed,84,67,65,C
female,group C,associate's,standard,none,78,39,50,D
male,group B,some college,standard,none,76,76,61,C
female,group D,bachelor's,standard,none,83,89,63,C
female,group E,doctorate,standard,completed,62,83,72,B
female,group D,some high school,free/reduced,none,63,60,31,F
female,group A,doctorate,standard,completed,100,71,73,B
male,group C,some high school,standard,completed,66,62,63,C
male,group A,bachelor's,standard,none,81,57,48,D
male,group B,high school,standard,completed,70,84,69,C
female,group A,high school,free/reduced,completed,42,52,38,F
male,group C,some college,standard,completed,39,56,38,F
male,group D,associate's,standard,none,61,53,43,D
male,group B,some college,standard,completed,85,47,57,C
male,group C,some high school,free/reduced,none,81,72,47,D
female,group C,associate's,standard,completed,83,87,87,A
female,group C,master's,standard,none,55,67,42,D
male,group B,some college,standard,none,94,47,60,C
male,group C,high school,standard,completed,55,82,58,C
female,group D,some college,standard,completed,73,95,66,C
male,group A,some high school,standard,none,69,60,50,D
male,group B,bachelor's,free/reduced,none,67,62,45,D
male,group C,bachelor's,free/reduced,none,90,77,62,C
male,group E,associate's,standard,completed,59,94,76,B
female,group C,some college,standard,completed,49,62,68,C
female,group C,bachelor's,standard,completed,70,50,55,C
male,group C,associate's,free/reduced,none,64,79,43,D
male,group C,bachelor's,standard,none,100,81,73,B
female,group A,associate's,free/reduced,completed,80,70,56,C
female,group C,bachelor's,standard,completed,63,61,61,C
female,group E,associate's,standard,none,54,84,45,D
female,group C,some college,standard,completed,41,77,67,C
male,group D,doctorate,standard,none,54,58,47,D
male,group D,some college,free/reduced,none,71,70,36,F
female,group B,associate's,free/reduced,none,91,49,41,D
male,group E,high school,standard,none,86,80,69,C
female,group A,associate's,standard,none,73,66,60,C
female,group C,associate's,free/reduced,none,65,63,33,F
female,group B,high school,free/reduced,none,74,69,51,D
male,group A,some high school,standard,completed,62,70,47,D
female,group C,associate's,standard,none,95,83,68,C
male,group B,bachelor's,standard,none,67,78,62,C
female,group C,some college,standard,none,68,67,48,D
female,group C,high school,standard,none,36,81,35,F
male,group A,associate's,standard,completed,67,76,64,C
female,group B,some high school,standard,none,82,63,52,D
female,group C,some college,standard,completed,53,68,58,C
male,group C,high school,standard,completed,58,67,50,D
male,group D,high school,free/reduced,none,81,77,48,D
male,group C,high school,free/reduced,none,47,64,22,F
male,group D,some college,standard,none,85,64,58,C
male,group D,some high school,free/reduced,none,62,99,53,D
female,group C,some college,free/reduced,completed,64,84,50,D
male,group C,some college,standard,none,53,58,43,D
male,group B,some college,standard,none,75,78,65,C
female,group B,some college,free/reduced,none,100,71,57,C
male,group D,bachelor's,free/reduced,none,81,75,54,D
female,group C,high school,free/reduced,none,57,72,43,D
male,group D,some college,free/reduced,none,87,87,52,D
male,group D,some high school,standard,none,65,75,66,C
female,group D,some high school,standard,none,90,69,58,C
female,group E,associate's,standard,completed,82,85,76,B
female,group C,associate's,standard,completed,25,73,49,D
female,group B,master's,standard,none,54,71,47,D
female,group C,associate's,standard,none,84,74,64,C
male,group C,doctorate,standard,completed,72,68,63,C
male,group C,some high school,free/reduced,none,54,70,31,F
female,group D,some high school,standard,none,60,61,44,D
female,group D,some high school,standard,none,41,58,33,F
female,group C,high school,standard,completed,68,55,52,D
male,group B,some college,standard,none,100,49,49,D
male,group C,associate's,free/reduced,completed,82,56,59,C
female,group B,some high school,free/reduced,completed,100,67,74,B
male,group D,master's,free/reduced,completed,83,71,65,C
female,group C,bachelor's,standard,completed,85,65,73,B
female,group B,high school,standard,none,99,34,49,D
male,group A,some high school,standard,none,75,93,61,C
female,group C,high school,standard,completed,67,86,62,C
female,group C,high school,free/reduced,completed,85,76,66,C
male,group C,high school,free/reduced,none,91,98,66,C
female,group A,some college,free/reduced,completed,62,55,44,D
female,group C,high school,standard,none,59,98,68,C
female,group B,some college,free/reduced,none,72,55,43,D
male,group C,doctorate,standard,none,82,73,54,D
female,group C,associate's,free/reduced,none,81,50,38,F
male,group C,master's,standard,none,48,70,49,D
male,group B,high school,standard,none,98,75,73,B
female,group E,some college,standard,none,60,67,52,D
male,group C,associate's,free/reduced,none,66,80,59,C
male,group D,some high school,standard,none,56,71,58,C
female,group B,some high school,standard,completed,100,62,73,B
female,group C,associate's,free/reduced,none,73,61,38,F
female,group A,associate's,standard,none,57,82,45,D
female,group C,some college,standard,none,82,60,52,D
male,group E,some college,standard,none,81,83,68,C
male,group C,some college,standard,completed,67,88,78,B
male,group A,some high school,free/reduced,none,82,44,42,D
female,group A,high school,free/reduced,completed,57,86,62,C
female,group C,high school,standard,none,62,100,61,C
female,group B,some high school,free/reduced,none,39,73,38,F
female,group A,doctorate,standard,none,50,78,54,D
male,group D,associate's,standard,none,97,85,58,C
female,group C,bachelor's,standard,none,94,65,59,C
male,group B,high school,standard,none,70,72,60,C
female,group E,some college,standard,none,94,50,57,C
male,group B,high school,free/reduced,none,67,72,38,F
female,group E,some high school,free/reduced,completed,66,77,40,D
male,group B,high school,standard,none,70,77,54,D
male,group D,bachelor's,standard,none,68,85,58,C
male,group C,associate's,free/reduced,none,66,58,34,F
female,group D,some college,free/reduced,none,87,62,50,D
female,group E,some college,free/reduced,none,72,98,61,C
male,group B,master's,standard,completed,80,67,68,C
male,group E,some high school,free/reduced,completed,85,73,47,D
female,group C,high school,standard,none,75,68,47,D
male,group C,high school,standard,none,55,57,40,D
female,group C,bachelor's,standard,none,49,94,58,C
female,group C,doctorate,standard,completed,72,62,62,C
male,group B,high school,standard,none,67,53,48,D
male,group C,master's,standard,none,71,63,49,D
female,group C,bachelor's,standard,none,69,39,39,F
male,group D,high school,free/reduced,completed,100,60,57,C
male,group D,some college,standard,none,50,55,44,D
female,group C,some college,standard,none,40,79,40,D
female,group B,doctorate,standard,completed,74,59,64,C
female,group B,high school,free/reduced,none,64,83,50,D
female,group B,bachelor's,standard,completed,74,90,71,B
male,group A,high school,standard,none,78,81,57,C
male,group C,bachelor's,standard,completed,89,66,59,C
female,group B,some college,free/reduced,completed,47,72,41,D
female,group E,associate's,free/reduced,none,61,47,31,F
male,group C,bachelor's,standard,completed,76,67,48,D
female,group C,bachelor's,standard,none,81,57,52,D
male,group C,master's,free/reduced,completed,100,80,75,B
female,group B,some high school,standard,none,84,100,75,B
male,group C,associate's,standard,completed,69,77,61,C
male,group C,high school,standard,none,56,40,36,F
male,group C,some college,standard,completed,61,64,52,D
male,group C,some college,standard,none,61,71,51,D
male,group E,some college,standard,completed,79,71,75,B
female,group D,some college,free/reduced,completed,73,59,56,C
female,group C,doctorate,free/reduced,none,50,73,42,D
female,group C,high school,standard,completed,63,51,48,D
female,group C,associate's,free/reduced,completed,83,55,57,C
male,group B,some college,standard,none,75,79,49,D
male,group C,high school,standard,none,78,54,49,D
female,group A,high school,standard,none,75,78,62,C
male,group C,master's,free/reduced,none,94,49,51,D
female,group C,master's,free/reduced,none,73,96,61,C
male,group B,master's,free/reduced,none,64,58,40,D
female,group E,doctorate,free/reduced,none,56,66,37,F
male,group E,high school,standard,none,73,74,60,C
female,group D,some college,free/reduced,none,33,61,21,F
female,group C,associate's,free/reduced,completed,67,72,48,D
female,group D,some college,free/reduced,completed,66,78,55,C
male,group B,some college,standard,none,49,84,52,D
female,group D,some college,standard,completed,56,81,49,D
female,group B,associate's,standard,completed,82,67,68,C
female,group D,associate's,standard,completed,73,67,66,C
female,group B,high school,standard,none,71,100,65,C
female,group D,some college,standard,none,74,84,75,B
male,group E,associate's,standard,completed,71,56,52,D
female,group B,associate's,standard,completed,88,71,67,C
female,group C,high school,standard,completed,71,64,57,C
female,group E,bachelor's,standard,completed,48,67,51,D
male,group C,some high school,free/reduced,none,94,51,46,D
male,group D,some college,standard,none,75,63,44,D
female,group C,bachelor's,standard,none,61,97,57,C
female,group C,associate's,free/reduced,none,51,78,41,D
male,group B,high school,standard,completed,75,32,56,C
female,group B,associate's,standard,none,68,88,73,B
male,group D,associate's,standard,none,93,86,77,B
male,group C,bachelor's,standard,completed,64,64,52,D
male,group C,bachelor's,free/reduced,none,57,80,40,D
male,group C,associate's,standard,completed,83,57,61,C
female,group C,some college,standard,completed,83,62,74,B
male,group D,high school,standard,none,72,92,62,C
female,group E,high school,standard,none,80,65,48,D
female,group C,some college,free/reduced,none,69,41,30,F
female,group D,associate's,standard,none,73,69,59,C
female,group D,some college,standard,none,87,68,64,C
male,group C,high school,standard,none,79,87,63,C
female,group E,some high school,standard,completed,67,70,64,C
female,group B,some college,standard,none,90,63,45,D
male,group B,high school,free/reduced,completed,34,85,46,D
female,group D,bachelor's,free/reduced,none,100,71,63,C
female,group C,some high school,free/reduced,none,44,58,25,F
female,group D,associate's,free/reduced,completed,60,87,51,D
female,group D,master's,free/reduced,none,69,72,35,F
female,group A,high school,standard,none,67,70,62,C
male,group D,some college,free/reduced,completed,85,72,56,C
female,group C,some high school,free/reduced,completed,54,53,42,D
female,group C,associate's,free/reduced,completed,73,62,55,C
male,group C,associate's,standard,none,61,70,59,C
male,group E,some college,standard,none,74,67,53,D
male,group A,some college,free/reduced,completed,69,89,57,C
female,group C,master's,free/reduced,completed,71,73,56,C
female,group D,high school,free/reduced,none,61,82,54,D
male,group D,some high school,standard,completed,62,70,57,C
female,group D,master's,standard,none,74,85,55,C
male,group B,associate's,standard,none,84,75,52,D
female,group B,master's,free/reduced,none,61,70,35,F
female,group C,associate's,standard,none,56,69,53,D
female,group D,bachelor's,standard,none,79,55,49,D
male,group B,some college,free/reduced,none,69,77,44,D
male,group B,bachelor's,standard,none,82,69,54,D
male,group E,master's,free/reduced,completed,56,62,45,D
male,group A,associate's,standard,completed,43,86,56,C
female,group E,high school,free/reduced,completed,62,51,41,D
female,group C,high school,standard,completed,58,63,62,C
female,group D,high school,free/reduced,none,68,85,60,C
female,group B,high school,free/reduced,none,60,74,33,F
female,group A,high school,standard,completed,81,69,67,C
female,group D,associate's,standard,none,65,73,48,D
female,group D,associate's,standard,none,72,72,54,D
female,group D,some college,free/reduced,none,72,47,39,F
male,group B,associate's,free/reduced,completed,72,64,51,D
male,group D,some high school,standard,none,69,94,64,C
male,group D,some high school,standard,completed,77,60,64,C
female,group C,high school,standard,none,58,65,48,D
female,group D,some college,free/reduced,completed,90,61,54,D
male,group D,high school,free/reduced,completed,66,68,47,D
female,group C,high school,standard,completed,50,61,41,D
female,group B,some college,standard,none,72,77,52,D
male,group C,bachelor's,standard,none,57,72,61,C
male,group A,some high school,standard,completed,79,81,65,C
female,group C,associate's,standard,none,100,54,52,D
female,group C,associate's,standard,none,58,64,48,D
female,group A,bachelor's,standard,none,74,66,53,D
female,group C,master's,standard,completed,43,76,52,D
female,group B,some high school,standard,none,76,58,60,C
female,group D,high school,standard,completed,56,83,64,C
female,group E,master's,standard,none,60,87,53,D
female,group A,some college,free/reduced,none,53,55,30,F
male,group E,associate's,free/reduced,completed,80,62,51,D
male,group C,associate's,standard,none,85,62,62,C
male,group B,associate's,standard,none,70,100,64,C
female,group A,master's,free/reduced,completed,57,63,35,F
female,group C,doctorate,free/reduced,completed,93,95,72,B
female,group D,bachelor's,standard,none,58,51,32,F
male,group D,high school,standard,completed,37,55,55,C
male,group A,master's,standard,completed,76,59,54,D
male,group A,some high school,standard,completed,53,57,49,D
male,group C,high school,standard,none,84,65,59,C
female,group B,master's,standard,none,64,59,45,D
male,group B,high school,free/reduced,completed,79,57,50,D
male,group B,high school,standard,completed,91,87,79,B
female,group D,high school,standard,none,51,88,62,C
male,group E,master's,standard,none,61,84,60,C
female,group C,some college,standard,none,68,77,64,C
female,group E,associate's,standard,none,93,71,57,C
male,group B,high school,standard,none,60,62,48,D
female,group C,bachelor's,free/reduced,none,61,55,37,F
female,group B,bachelor's,standard,completed,77,75,68,C
female,group C,high school,free/reduced,none,61,52,43,D
male,group E,some college,free/reduced,completed,72,55,47,D
female,group C,high school,standard,none,46,87,48,D
female,group C,doctorate,standard,none,100,98,80,B
male,group C,associate's,standard,none,49,75,36,F
male,group B,master's,free/reduced,none,65,86,48,D
female,group D,high school,free/reduced,completed,69,66,51,D
female,group C,bachelor's,free/reduced,completed,98,49,51,D
male,group C,bachelor's,standard,none,50,79,55,C
female,group C,associate's,free/reduced,none,99,78,54,D
male,group C,doctorate,standard,none,81,71,57,C
male,group A,some college,standard,completed,76,66,64,C
male,group D,high school,standard,completed,55,84,69,C
male,group B,associate's,standard,none,78,55,51,D
male,group D,bachelor's,free/reduced,completed,59,58,50,D
male,group D,associate's,standard,completed,88,54,67,C
female,group D,high school,standard,none,55,71,49,D
male,group C,some college,standard,none,68,53,39,F
male,group C,high school,free/reduced,completed,61,59,37,F
female,group B,some college,free/reduced,completed,55,59,44,D
male,group D,associate's,standard,none,81,66,53,D
female,group B,bachelor's,standard,none,78,47,53,D
male,group C,high school,standard,none,88,71,66,C
male,group B,some college,free/reduced,none,43,88,41,D
male,group B,high school,standard,completed,85,72,61,C
